0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
"Cheboygan,MI",0,0,0,0,5.7913,0,0,0,0.6703,0,0,1,0,0,0,0,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chelan,WA",0.5769,0,0.2231,0,0,0,0,0,0,0,0,0,0,0,0,10.5474,0,0,0,0,0,0,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082,0,0,0
"Chittenden,VT",0,2.7183,0.6376,0,0,0,0,0.1496,0,25.3585,0.5488,3.423,0,0,1.125800.5769,1.2191,0,0,0.0273,5.7086,8.506,0,10,0.2019,3.8137,0,0,0,0,1,0,0,0,0,0,0,2.7183,0.6065,1.9048,20.2751,0.95120.31660,0,0.0608,10
"Clackamas,OR",0,0.8187,0,0,0.3586,0,0,0,0,0,0,0,0,0,0,0,0,1.0078,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8607,0.8607,0,0,0,0,0,0,0,0,0
"Clark,NV",0,0.1108,0.3679,6.3077,0.3166,1.1165,0,0.0863,0,0.2725,0,0,0,0,61.6697,0,0,0,0,0.0008,0.0011,2.7183,0,0,3.2952,0,0,0,0,0,1,0,0,0,0,0.2466,2.0001,0,0,0,0.8767,0.0863,0.3329,0.0863
"Clark,WA",0,0,0,0,0,0,0,02.71830.0001,0,10,0.95128.3530,0,0,0,0.1527,0,0,0,0.81870.20190,0,0,4.7312,8.8585,0,0,20.7199,100,0,0,0,0.8187,0.980700.6703,0.1827,0,0,0,0,0,0,0,0,0,5.4861,0
"Clatsop,OR",0,0.0273,0,0,0,0,0,0,0.0082,0,0,0.4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clay,MO",0,0,4.6565,0.7788,0,0,0,1.9048,2.7183,0,1.7187,2.8097,0,0,0,0,0,2.7183,0.82,0.0498,0.0498,0,0,0,0.7788,0,0,0,0,0.7047,2.7183,3.0195,0,1.5989,5.4103,0.54570.5691,0.4966,0,0,0.0032,0,0,0,0
"Clay,WV",0,0,0,0,0,0,0,2.7183,0,0,0,0,0,2.7183,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0263,1.6555,1.7236,0,0,0,0,0,0,0,0
"Clermont,OH",0,0,0.3679,0,0,0,0,0,0,0,0.0334,1.6999,0,0,0,0,0,0,0,0,0,0,0,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,2.7183,0,0,0,0,0,0.0334,0
"Cleveland,OK",0,0,1.0672,0,0.4724,0,0,2.7183,0,0,0.9512,1.2055,0,0,0,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,0.9512,0,3.3248,2.7183,0,8.709,18.1636,10.5455,0.7695,0,0,0,0,33.8431,0,40.8422
"Clinton,PA",0,0,0,0,0,0,0,0,0,17.0391,0,0.5488,0,0,0,0,0,0,0.0037,0,0,0,0,0,0,0,2.7183,0,0,0,0,0,1,0,0,0,0,0,0,5.1931,0,0.0026,0,0
"Coal,OK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,2.7183,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5488,0,0,0,0.4274,0,0,0
"Cochise,AZ",0.522,0,0.3679,0,0,0,0,0,3.7183,0,0,0.0001,0,0,0,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8607,0,0,0,0,0,0,0,0
"Cocke,TN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2466,0,0,0,0.2865
"Collin,TX",0.3679,100,6.39360.02732.7183,0.0111,2.7655,2.206,0,2.0443,3.718302.006,3.1518,42.6364,1.823300.6793,2.3751,200,0.7047,0.9512,0,4.5157,6.895,2.7183,0.4507,2.7333,2.7183,0.9512,0.1165,0,0.2122,683.9807,0,587.53650.95120,0.31660.60650,1.8976,100,0,0,0,2.5895,1.3542,0,4.5181,0,1,19.7422,0
"Columbia,NY",0,0,0.0004,0,0,0,0,23.7998,0,0,0.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7408,0,0,0,0,0,0,0
"Columbia,OR",0,0,0,0,0,0,0,0,0,0,0.8188,0.385,0.2122,0,0.5769,11.4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273,0,0,0,0,0,0,0.8187,0.4493,0,0,0,0,0,0
"Comanche,OK",0,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0.8607,0,0,0.8607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1973,13.9662,6.0399,0,0,0,0,0,0,0,0
"Cook,IL",0.8187,1.522,12.19293.537000,0,7.51670005.4373,56.747600.026100,3.9514,9.2139,2.71870021.60280,6.44830002.7183,6.1774,5.87461,1.6376,1.18891.6836000,8.4554,6.1638,2.8352,1.7774,3.6754000.42740,0.5124,0.8981,0.40251.904800.10030,1.1738,0,0.7056,43.749900.165300,2.1968,0,0.1496,1.2407,290.9158,279.057203.718300,3.806,14.646,3.198,3.0717,8.90660.8187000,2.71830002.7183,1.00820002.7183,3.7402,2.7183,2.8536000.28650,2.9846,2.884
"Coweta,GA",0,0,0.9048,0,0,0,0.0027,173.5729,0,0,0,0.0129,0,0,0,0,0,0,0.6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6376,0,0,0,0,0,0,0
"Crawford,AR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7183,0,0,0,0,0.0041,27.5784,35.5368,0,0,0,0,0
"Crockett,TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9475,0,0,0,0,2.7183,0.7788,0,0,0,0,0,0,0,0,0,0,0.6065,0,0,0,0,0,0,0,0,0,0,0,0
